// Item Group Database
//
// Structure of Database:
// GroupID,ItemID,Rate{,Amount,Random,isAnnounced,Duration,GUID,isBound,isNamed}


//New Spin Box
IG_S2WBOX,909,1


//Modification Moodule Box
//common
IG_Modification_Moodule,25670,9          //Modification Module (Defense),
IG_Bs_Making_S,23853,1      //Bs_Item_M_S_50,Chick Hat Combination Scroll,11
IG_Bs_Making_S,23854,1      //Bs_Sha_M_S_2,Class Shadow Combination Scroll,11
IG_Bs_Making_S,23863,1      //Bs_Item_M_S_5,Mad Bunny Combination Scroll,11
IG_Bs_Making_S,23864,1      //Bs_Item_M_S_9,Archangel Wings Combination Scroll,11
IG_Bs_Making_S,23865,1      //Bs_Item_M_S_14,Smokie's Transformation Leaf Combination
IG_Bs_Making_S,23866,1      //Bs_Item_M_S_16,Ears Of Ifrit Combination Scroll
IG_Bs_Making_S,23867,1      //Bs_Item_M_S_17,Heart Wing Hairband Combination Scroll
IG_Bs_Making_S,23868,1      //Bs_Item_M_S_19,Sigrun's Wings Combination Scroll
IG_Bs_Making_S,23869,1      //Bs_Item_M_S_27,Kitten Headdress Combination Scroll,11
IG_Bs_Making_S,23870,1      //Bs_Item_M_S_35,Noble Mask Combination Scroll,11
IG_Bs_Making_S,23876,1      //Bs_Item_M_S_1,Fallen Angel Wing Combination Scroll
IG_Bs_Making_S,23877,1      //Bs_Item_M_S_3,Adventurer's Backpack Combination Scroll
IG_Bs_Making_S,23879,1      //Bs_Item_M_S_18,Spell Circuit Combination Scroll,11
IG_Bs_Making_S,23880,1      //Bs_Item_M_S_20,New Wave Sunglasses Combination Scroll
IG_Bs_Making_S,23881,1      //Bs_Item_M_S_21,Giant Snake Breath Combination Scroll
IG_Bs_Making_S,23882,1      //Bs_Item_M_S_22,Korean Judge Hat Combination Scroll
IG_Bs_Making_S,23883,1      //Bs_Item_M_S_23,Ruff Officer Combination Scroll,11
IG_Bs_Making_S,23884,1      //Bs_Item_M_S_24,Fancy Feather Hat Combination Scroll
IG_Bs_Making_S,23885,1      //Bs_Item_M_S_25,Amistr Beret Combination Scroll,11
IG_Bs_Making_S,23886,1      //Bs_Item_M_S_26,General Helm Combination Scroll,11
IG_Bs_Making_S,23887,1      //Bs_Item_M_S_30,Cursed Knight's Shield Combination
IG_Bs_Making_S,23894,1      //Bs_Item_M_S_51,Wickebine's Black Cat Ears



IG_Bs_Item_M_S_12,20842,1      //Candy_Bag_Backpack_Physical,Candy Bag Backpack (Physical),
IG_Bs_Item_M_S_12,20843,1      //Candy_Bag_Backpack_Ranged,Candy Bag Backpack (Ranged),
IG_Bs_Item_M_S_12,20844,1      //Candy_Bag_Backpack_Magical,Candy Bag Backpack (Magical),

IG_Bs_Item_M_S_15,19020,1     //Survivor's Circlet [1]
IG_Bs_Item_M_S_15,19139,1     //Survivor's Orb

IG_Bs_Item_M_S_5,28901,1     //mad bunny
IG_Bs_Item_M_S_5,28902,1     //mad bunny

//costume enchantmet stones
//upper
IG_STONE_UPPER,6636,1       //Floor Str,Strength Stone(Upper)
IG_STONE_UPPER,6637,1       //Floor Int,Intelligence Stone(Upper)
IG_STONE_UPPER,6638,1       //Floor Agi,Agility Stone(Upper),
IG_STONE_UPPER,6639,1       //Floor Dex,Dexterity Stone(Upper)
IG_STONE_UPPER,6640,1       //Floor Vit,Health Stone(Upper)
IG_STONE_UPPER,6641,1       //Floor Luk,Lucky Stone(Upper)
IG_STONE_UPPER,6716,1       //Cri Stone,Critical Stone(Upper)
IG_STONE_UPPER,6740,1       //HealStone Top,Stone Recovery(Upper)
IG_STONE_UPPER,6741,1       //HealStone2 Top,Stone Recovery Skills(Upper)
IG_STONE_UPPER,6790,1       //BigStone Top,Large Stone(Upper),
IG_STONE_UPPER,6791,1       //MediumStone Top,Medium Stone(Upper)
IG_STONE_UPPER,6792,1       //SmallStone Top,Small Stone(Upper)
IG_STONE_UPPER,6943,1       //ATKStone Top,Attack Stone(Upper)
IG_STONE_UPPER,6944,1       //MATKStone Top,Magic Stone(Upper)
IG_STONE_UPPER,6999,1       //HPdrainStone Top,HP Absorption Stone(Upper)
IG_STONE_UPPER,25000,1       //,SP Absorb Stone Upper,SP Absorp Stone (Upper)
IG_STONE_UPPER,25068,1       //,ASPD Stone Upper,ASPD Stone(Upper)
IG_STONE_UPPER,25069,1       //,Reload Stone Upper,Reload Stone(Upper)
IG_STONE_UPPER,25171,1       //,Experience Stone Upper,Experience Stone(Upper)
IG_STONE_UPPER,25172,1       //,Variable Cast Stone Upper,Variable Cast Stone(Upper)
IG_STONE_UPPER,25207,1       //,Enhanced SP Absorb Stone Upper,Enhanced SP Absorb Stone(Upper)
IG_STONE_UPPER,25210,1       //,Enhanced HP Absorb Stone Upper,Enhanced HP Absorb Stone(Upper)
IG_STONE_UPPER,25304,1       //,Critical Stone Upper,Critical Stone(Upper)

//MIDDLE
IG_STONE_MIDDLE,6642,1     //ATKStone Middle     Attack Stone(Middle)
IG_STONE_MIDDLE,6643,1     //Floor Matk     Magic Stone(Middle)
IG_STONE_MIDDLE,6717,1     //MHPStone Middle     Fitness Stone(Middle)
IG_STONE_MIDDLE,6742,1     //HealStone Middle     Stone Recovery(Middle)
IG_STONE_MIDDLE,6743,1     //HPStone Middle     HP Stone(Middle)
IG_STONE_MIDDLE,6744,1     //SPStone Middle     SP Stone(Middle)
IG_STONE_MIDDLE,6945,1     //Floor Str2     Strength Stone(Middle)
IG_STONE_MIDDLE,6946,1     //Floor Int2     Intelligence Stone(Middle)
IG_STONE_MIDDLE,6947,1     //Floor Agi2     Agility Stone(Middle)
IG_STONE_MIDDLE,6948,1     //Floor Dex2     Dexterity Stone(Middle)
IG_STONE_MIDDLE,6949,1     //Floor Vit2     Vitality Stone(Middle)
IG_STONE_MIDDLE,6950,1     //Floor Luk2     Lucky Stone(Middle)
IG_STONE_MIDDLE,25001,1    // Defense Stone Middle     Defense Stone(Middle)
IG_STONE_MIDDLE,25002,1    // LUK Convert Stone Middle     LUK Convert Stone(Middle)
IG_STONE_MIDDLE,25003,1    // STR Convert Stone Middle     STR Convert Stone(Middle)
IG_STONE_MIDDLE,25004,1    // AGI Convert Stone Middle     AGI Convert Stone(Middle)
IG_STONE_MIDDLE,25005,1    // INT Convert Stone Middle     INT Convert Stone(Middle)
IG_STONE_MIDDLE,25006,1    // VIT Convert Stone Middle     VIT Convert Stone(Middle)
IG_STONE_MIDDLE,25007,1    // DEX Convert Stone Middle     DEX Convert Stone(Middle)
IG_STONE_MIDDLE,25060,1    // Critical Stone Middle     Critical Stone(Middle)
IG_STONE_MIDDLE,25061,1    // Range Stone Middle     Range Stone(Middle)
IG_STONE_MIDDLE,25070,1    // Reload Stone Middle     Reload Stone(Middle)
IG_STONE_MIDDLE,25141,1    // Experience Stone Middle     Experience Stone(Middle)
IG_STONE_MIDDLE,25173,1    // Variable Cast Stone Middle     Variable Cast Stone(Middle)
IG_STONE_MIDDLE,25175,1    // Lex Aeterna Stone Middle     Lex Aeterna Stone(Middle)

//LOWER
IG_STONE_LOWER,6644,1   //HITStone_Bottom    Hit Stone(Lower)
IG_STONE_LOWER,6645,1   //FLEEStone_Bottom    Evasion Stone(Lower)
IG_STONE_LOWER,6718,1   //MSPStone_Bottom    Magical Stone(Lower)
IG_STONE_LOWER,6745,1  //HealStone_Bottom  Recovery Stone(Low)
IG_STONE_LOWER,6951,1   //HPStone_Bottom    HP Stone(Lower)
IG_STONE_LOWER,25008,1   // VIT_Convert_Stone_Lower    VIT Convert Stone(Lower)
IG_STONE_LOWER,25009,1   // AGI_Convert_Stone_Lower    AGI Convert Stone(Lower)
IG_STONE_LOWER,25010,1   // DEX_Convert_Stone_Lower    DEX Convert Stone(Lower)
IG_STONE_LOWER,25011,1   // LUK_Convert_Stone_Lower    LUK Convert Stone(Lower)
IG_STONE_LOWER,25012,1   // STR_Convert_Stone_Lower    STR Convert Stone(Lower)
IG_STONE_LOWER,25013,1   // INT_Convert_Stone_Lower    INT Convert Stone(Lower)
IG_STONE_LOWER,25014,1   // Magic_Defense_Stone_Lower    Magic Defense Stone(Lower)    
IG_STONE_LOWER,25015,1   // Experience_Stone_Lower    Experience Stone(Lower)
IG_STONE_LOWER,25016,1   // Attack_Stone_Lower    Attack Stone(Lower)
IG_STONE_LOWER,25017,1   // Magic_Stone_Lower    Magic Stone(Lower)
IG_STONE_LOWER,25062,1   // Greed_Stone_Lower    Greed Stone(Lower)
IG_STONE_LOWER,25063,1   // Stamina_Stone_Lower    Stamina Stone(Lower)
IG_STONE_LOWER,25064,1   // Spirit_Stone_Lower    Spirit Stone(Lower)
IG_STONE_LOWER,25065,1   // Detoxify_Stone_Lower    Detoxify Stone(Lower)
IG_STONE_LOWER,25066,1   // Status_Stone_Lower    Status Recovery Stone(Lower)
IG_STONE_LOWER,25071,1   // Reload_Stone_Lower    Reload Stone(Lower)
IG_STONE_LOWER,25072,1   // Kyrie_Eleison_Stone_Lower    Kyrie Eleison Stone(Lower)
IG_STONE_LOWER,25139,1   // Item_Appraisal_Stone_Lower    Item Appraisal Stone(Lower)
IG_STONE_LOWER,25140,1   // Resurrection_Stone_Lower    Resurrection Stone(Lower)
IG_STONE_LOWER,25174,1   // Variable_Cast_Stone_Lower    Variable Cast Stone(Lower)
IG_STONE_LOWER,25227,1   // Detox_Stone_Lower    Heal Stone(Lower)
IG_STONE_LOWER,25228,1   // Teleport_Stone_Lower    Teleport Stone(Lower)
IG_STONE_LOWER,25229,1   // Steal_Stone_Lower    Steal Stone(Lower)
IG_STONE_LOWER,25305,1   // Critical_Stone_Lower    Critical Stone(Lower)

//GERMENT

IG_STONE_GARMENT,6908,1     //Stone ASPD (Garment)
IG_STONE_GARMENT,6963,1     //HP Absorption Stone(Garment)
IG_STONE_GARMENT,6964,1     //SP Absorption Stone(Garment)
IG_STONE_GARMENT,25067,1    //Fixed Cast Stone(Garment)
IG_STONE_GARMENT,25170,1    //Minor Fixed Cast Stone(Garment)
IG_STONE_GARMENT,25208,1    //Enhanced SP Absorb Stone(Garment)
IG_STONE_GARMENT,25209,1    //Enhanced HP Absorb Stone(Garment)
IG_STONE_GARMENT,25302,1    //Double Attack Stone(Garment)
IG_STONE_GARMENT,25303,1    //Critical Stone(Garment)
IG_STONE_GARMENT,25306,1    //Variable Cast Stone(Garment)



//CLASS_SHADOW_ACC
IG_CLASS_SHADOW_ACC,24246,1      //S_Swordman_Earring
IG_CLASS_SHADOW_ACC,24247,1      //S_Merchant_Earring
IG_CLASS_SHADOW_ACC,24248,1      //S_Acolyte_Earring
IG_CLASS_SHADOW_ACC,28391,1      //S_Thief_Earring
IG_CLASS_SHADOW_ACC,28392,1      //S_Archer_Earring
IG_CLASS_SHADOW_ACC,24249,1      //S_Magician_Earring
IG_CLASS_SHADOW_ACC,24250,1      //S_Swordman_Pendant
IG_CLASS_SHADOW_ACC,24251,1      //S_Merchant_Pendant
IG_CLASS_SHADOW_ACC,24252,1      //S_Acolyte_Pendant
IG_CLASS_SHADOW_ACC,24253,1      //S_Thief_Pendant
IG_CLASS_SHADOW_ACC,24254,1      //S_Magician_Pendant
IG_CLASS_SHADOW_ACC,24255,1      //S_Archer_Pendant
//SHOES
IG_CLASS_SHADOW_SHOES,24256,1      //Knight_Shadow_Shoes
IG_CLASS_SHADOW_SHOES,24257,1      //Crusader_Shadow_Shoes
IG_CLASS_SHADOW_SHOES,24258,1      //Blacksmith_Shadow_Shoes
IG_CLASS_SHADOW_SHOES,24259,1      //Alchemist_Shadow_Shoes
IG_CLASS_SHADOW_SHOES,24260,1      //Priest_Shadow_Shoes
IG_CLASS_SHADOW_SHOES,24261,1      //Monk_Shadow_Shoes
IG_CLASS_SHADOW_SHOES,24262,1      //Assassin_Shadow_Shoes
IG_CLASS_SHADOW_SHOES,24263,1      //Rogue_Shadow_Shoes
IG_CLASS_SHADOW_SHOES,24264,1      //Wizard_Shadow_Shoes
IG_CLASS_SHADOW_SHOES,24265,1      //Sage_Shadow_Shoese
IG_CLASS_SHADOW_SHOES,24266,1      //Hunter_Shadow_Shoes
IG_CLASS_SHADOW_SHOES,24267,1      //Bard_Shadow_Shoes
IG_CLASS_SHADOW_SHOES,24268,1      //Dancer_Shadow_Shoes
IG_CLASS_SHADOW_SHOES,24405,1      //Rebellion_Shadow_Shoes
IG_CLASS_SHADOW_SHOES,24406,1      //Kagerou_Shadow_Shoes
IG_CLASS_SHADOW_SHOES,24407,1      //Oboro_Shadow_Shoes
IG_CLASS_SHADOW_SHOES,24409,1      //Doram_Physical_Shadow_Sho
IG_CLASS_SHADOW_SHOES,24411,1      //Doram_Magical_Shadow_Shoe
IG_CLASS_SHADOW_SHOES,24413,1      //Star_Emperor_Shadow_Shoes
IG_CLASS_SHADOW_SHOES,24415,1      //Soul_Reaper_Shadow_Shoes
//ARMOR
IG_CLASS_SHADOW_ARMOR,24269,1      //Knight_Shadow_Armor
IG_CLASS_SHADOW_ARMOR,24270,1      //Crusader_Shadow_Armor
IG_CLASS_SHADOW_ARMOR,24271,1      //Blacksmith_Shadow_Armor
IG_CLASS_SHADOW_ARMOR,24272,1      //Alchemist_Shadow_Armor
IG_CLASS_SHADOW_ARMOR,24273,1      //Priest_Shadow_Armor
IG_CLASS_SHADOW_ARMOR,24274,1      //Monk_Shadow_Armor
IG_CLASS_SHADOW_ARMOR,24275,1      //Assassin_Shadow_Armor
IG_CLASS_SHADOW_ARMOR,24276,1      //Rogue_Shadow_Armor
IG_CLASS_SHADOW_ARMOR,24277,1      //Wizard_Shadow_Armor
IG_CLASS_SHADOW_ARMOR,24278,1      //Sage_Shadow_Armor
IG_CLASS_SHADOW_ARMOR,24279,1      //Hunter_Shadow_Armor
IG_CLASS_SHADOW_ARMOR,24280,1      //Bard_Shadow_Armor
IG_CLASS_SHADOW_ARMOR,24281,1      //Dancer_Shadow_Armor
IG_CLASS_SHADOW_ARMOR,24402,1      //Rebellion_Shadow_Armor
IG_CLASS_SHADOW_ARMOR,24403,1      //Kagerou_Shadow_Armor
IG_CLASS_SHADOW_ARMOR,24404,1      //Oboro_Shadow_Armor
IG_CLASS_SHADOW_ARMOR,24408,1      //Doram_Physical_Shadow_Armor
IG_CLASS_SHADOW_ARMOR,24410,1      //Doram_Magical_Shadow_Armo
IG_CLASS_SHADOW_ARMOR,24412,1      //Star_Emperor_Shadow_Armor
IG_CLASS_SHADOW_ARMOR,24414,1      //Soul_Reaper_Shadow_Armor
//WEAPON
IG_CLASS_SHADOW_WEAPON,24282,1      //Super_Novice_Shadow_Weapon
IG_CLASS_SHADOW_WEAPON,24283,1      //Gunslinger_Shadow_Weapon
IG_CLASS_SHADOW_WEAPON,24284,1      //Taekwondo_Shadow_Weapon
IG_CLASS_SHADOW_WEAPON,24285,1      //Ninja_Shadow_Weapon
IG_CLASS_SHADOW_WEAPON,24286,1      //Doram_Magical_Shadow_Weapon
IG_CLASS_SHADOW_WEAPON,24287,1      //Doram_Physical_Shadow_Weapon
IG_CLASS_SHADOW_WEAPON,24288,1      //Rune_Knight_Shadow_Weapon
IG_CLASS_SHADOW_WEAPON,24289,1      //Royal_Guard_Shadow_Weapon
IG_CLASS_SHADOW_WEAPON,24290,1      //Mechanic_Shadow_Weapon
IG_CLASS_SHADOW_WEAPON,24291,1      //Genetic_Shadow_Weapon
IG_CLASS_SHADOW_WEAPON,24292,1      //Arcbishop_Shadow_Weapon
IG_CLASS_SHADOW_WEAPON,24293,1      //Sura_Shadow_Weapon
IG_CLASS_SHADOW_WEAPON,24294,1      //Guillotine_Cross_Shadow_Weapon
IG_CLASS_SHADOW_WEAPON,24295,1      //Shadow_Chaser_Shadow_Weapon
IG_CLASS_SHADOW_WEAPON,24296,1      //Warlock_Shadow_Weapon
IG_CLASS_SHADOW_WEAPON,24297,1      //Sorcerer_Shadow_Weapon
IG_CLASS_SHADOW_WEAPON,24298,1      //Ranger_Shadow_Weapon
IG_CLASS_SHADOW_WEAPON,24299,1      //Minstrel_Shadow_Weapon
IG_CLASS_SHADOW_WEAPON,24300,1      //Wanderer_Shadow_Weapon
//SHEILD
IG_CLASS_SHADOW_SHEILD,24301,1      //Rune_Knight_Shadow_Shield
IG_CLASS_SHADOW_SHEILD,24302,1      //Royal_Guard_Shadow_Shield
IG_CLASS_SHADOW_SHEILD,24303,1      //Mechanic_Shadow_Shield
IG_CLASS_SHADOW_SHEILD,24304,1      //Genetic_Shadow_Shield
IG_CLASS_SHADOW_SHEILD,24305,1      //Archbishop_Shadow_Shield
IG_CLASS_SHADOW_SHEILD,24306,1      //Sura_Shadow_Shield
IG_CLASS_SHADOW_SHEILD,24307,1      //Guillotine_Cross_Shadow_Shield
IG_CLASS_SHADOW_SHEILD,24308,1      //Shadow_Chaser_Shadow_Shield
IG_CLASS_SHADOW_SHEILD,24309,1      //Warlock_Shadow_Shield
IG_CLASS_SHADOW_SHEILD,24310,1      //Sorcerer_Shadow_Shield
IG_CLASS_SHADOW_SHEILD,24311,1      //Ranger_Shadow_Shield
IG_CLASS_SHADOW_SHEILD,24312,1      //Minstrel_Shadow_Shield
IG_CLASS_SHADOW_SHEILD,24313,1      //Wanderer_Shadow_Shield
IG_CLASS_SHADOW_SHEILD,24314,1      //Ninja_Shadow_Shield
IG_CLASS_SHADOW_SHEILD,24315,1      //Taekwon_Shadow_Shield
IG_CLASS_SHADOW_SHEILD,24316,1      //Doram_Physical_Shadow_Shield
IG_CLASS_SHADOW_SHEILD,24317,1      //Doram_Magical_Shadow_Shield
IG_CLASS_SHADOW_SHEILD,24318,1      //Super_Novice_Shadow_Shield
IG_CLASS_SHADOW_SHEILD,24319,1      //Gunslinger_Shadow_Shield
//Jobs Shadow Gear
IG_CLASS_SHADOW,24246,1      //S_Swordman_Earring
IG_CLASS_SHADOW,24247,1      //S_Merchant_Earring
IG_CLASS_SHADOW,24248,1      //S_Acolyte_Earring
IG_CLASS_SHADOW,28391,1      //S_Thief_Earring
IG_CLASS_SHADOW,28392,1      //S_Archer_Earring
IG_CLASS_SHADOW,24249,1      //S_Magician_Earring
IG_CLASS_SHADOW,24250,1      //S_Swordman_Pendant
IG_CLASS_SHADOW,24251,1      //S_Merchant_Pendant
IG_CLASS_SHADOW,24252,1      //S_Acolyte_Pendant
IG_CLASS_SHADOW,24253,1      //S_Thief_Pendant
IG_CLASS_SHADOW,24254,1      //S_Magician_Pendant
IG_CLASS_SHADOW,24255,1      //S_Archer_Pendant
IG_CLASS_SHADOW,24256,1      //Knight_Shadow_Shoes
IG_CLASS_SHADOW,24257,1      //Crusader_Shadow_Shoes
IG_CLASS_SHADOW,24258,1      //Blacksmith_Shadow_Shoes
IG_CLASS_SHADOW,24259,1      //Alchemist_Shadow_Shoes
IG_CLASS_SHADOW,24260,1      //Priest_Shadow_Shoes
IG_CLASS_SHADOW,24261,1      //Monk_Shadow_Shoes
IG_CLASS_SHADOW,24262,1      //Assassin_Shadow_Shoes
IG_CLASS_SHADOW,24263,1      //Rogue_Shadow_Shoes
IG_CLASS_SHADOW,24264,1      //Wizard_Shadow_Shoes
IG_CLASS_SHADOW,24265,1      //Sage_Shadow_Shoese
IG_CLASS_SHADOW,24266,1      //Hunter_Shadow_Shoes
IG_CLASS_SHADOW,24267,1      //Bard_Shadow_Shoes
IG_CLASS_SHADOW,24268,1      //Dancer_Shadow_Shoes
IG_CLASS_SHADOW,24269,1      //Knight_Shadow_Armor
IG_CLASS_SHADOW,24270,1      //Crusader_Shadow_Armor
IG_CLASS_SHADOW,24271,1      //Blacksmith_Shadow_Armor
IG_CLASS_SHADOW,24272,1      //Alchemist_Shadow_Armor
IG_CLASS_SHADOW,24273,1      //Priest_Shadow_Armor
IG_CLASS_SHADOW,24274,1      //Monk_Shadow_Armor
IG_CLASS_SHADOW,24275,1      //Assassin_Shadow_Armor
IG_CLASS_SHADOW,24276,1      //Rogue_Shadow_Armor
IG_CLASS_SHADOW,24277,1      //Wizard_Shadow_Armor
IG_CLASS_SHADOW,24278,1      //Sage_Shadow_Armor
IG_CLASS_SHADOW,24279,1      //Hunter_Shadow_Armor
IG_CLASS_SHADOW,24280,1      //Bard_Shadow_Armor
IG_CLASS_SHADOW,24281,1      //Dancer_Shadow_Armor
IG_CLASS_SHADOW,24282,1      //Super_Novice_Shadow_Weapon
IG_CLASS_SHADOW,24283,1      //Gunslinger_Shadow_Weapon
IG_CLASS_SHADOW,24284,1      //Taekwondo_Shadow_Weapon
IG_CLASS_SHADOW,24285,1      //Ninja_Shadow_Weapon
IG_CLASS_SHADOW,24286,1      //Doram_Magical_Shadow_Weapon
IG_CLASS_SHADOW,24287,1      //Doram_Physical_Shadow_Weapon
IG_CLASS_SHADOW,24288,1      //Rune_Knight_Shadow_Weapon
IG_CLASS_SHADOW,24289,1      //Royal_Guard_Shadow_Weapon
IG_CLASS_SHADOW,24290,1      //Mechanic_Shadow_Weapon
IG_CLASS_SHADOW,24291,1      //Genetic_Shadow_Weapon
